Ticker,Date,Pred_5d,Pred_20d,Pred_60d,Uncertainty_5d,Uncertainty_20d,Uncertainty_60d
2012,2026-08-10,0.03726972,0.05117671,0.088469416,0.01883415,0.027061867,0.022446716
2013,2026-08-10,0.024814628,0.03527713,0.03126333,0.014201337,0.023044659,0.028770525
2014,2026-08-10,-0.04106247,-0.05192176,-0.060178485,0.025236754,0.028926,0.032854524
2015,2026-08-10,0.026153231,0.02361262,0.005588877,0.01571871,0.021068625,0.021555759
2017,2026-08-10,-0.06543581,-0.06413319,-0.0571262,0.01616823,0.02402624,0.029049838
2020,2026-08-10,0.028315285,0.061054543,0.070636705,0.010458924,0.019393465,0.022691036
2022,2026-08-10,-0.042532858,-0.026285551,-0.0022984254,0.022358555,0.023354068,0.029959429
2023,2026-08-10,-0.017040314,-0.014350649,-0.061467387,0.017692378,0.021087518,0.018820046
2024,2026-08-10,0.030606953,0.06122813,0.118508086,0.018117422,0.0354133,0.031717062
2025,2026-08-10,0.16235226,0.0026500751,0.17942485,0.071050316,0.073436074,0.08626755
2027,2026-08-10,0.17840864,0.1175437,0.17161255,0.022945553,0.021478912,0.036658734
2028,2026-08-10,0.057433274,0.10564687,0.13446042,0.02306199,0.022667514,0.03220275
2029,2026-08-10,0.06605836,0.06791942,0.08540675,0.017345376,0.023312684,0.029693812
2030,2026-08-10,0.11539748,0.10713892,0.116145164,0.03334944,0.029774377,0.037832864
2031,2026-08-10,-0.043756723,-0.1001388,-0.04753503,0.032904543,0.042365387,0.038386375
2032,2026-08-10,-0.0408331,-0.033828698,0.0031765534,0.022110183,0.029231243,0.033810027
2033,2026-08-10,0.19839516,0.24427848,0.22771971,0.06546789,0.07624002,0.08226703
2034,2026-08-10,-0.077821985,-0.110416204,-0.09709742,0.018032994,0.025298785,0.026533162
2038,2026-08-10,-0.06411282,-0.002086993,0.011706071,0.018215254,0.024432592,0.026295021
2049,2026-08-10,-0.011106597,0.033467468,0.0068060947,0.021122975,0.03214989,0.040570203
2059,2026-08-10,0.014779584,-0.009818538,-0.052972265,0.018659975,0.017500836,0.027120678
2061,2026-08-10,-0.17706446,-0.19685674,0.0411287,0.086971685,0.10799858,0.10887302
2062,2026-08-10,0.07443188,0.11465609,0.13569075,0.015082736,0.022403413,0.025997844
2063,2026-08-10,0.0022057374,0.030353757,0.07540167,0.0219391,0.035390515,0.04044251
2064,2026-08-10,0.064262204,0.16322978,0.24317203,0.02380773,0.024468936,0.03164167
2065,2026-08-10,-0.03119568,0.0008461622,0.012489522,0.022746654,0.02847192,0.02674685
2066,2026-08-10,0.06824388,0.18575032,0.1900173,0.021031281,0.032157768,0.03302395
2067,2026-08-10,0.022056662,0.11548693,0.39448997,0.025783122,0.038213775,0.058336392
2069,2026-08-10,0.06465581,0.17036031,0.23325573,0.018030372,0.019629858,0.029995
2070,2026-08-10,-0.59623855,-0.5302672,-0.11866519,0.09004209,0.11364338,0.07797396
2072,2026-08-10,0.09137462,0.09285656,0.0905525,0.015815152,0.024022965,0.023715725
2101,2026-08-10,0.069935195,0.12838885,0.19842736,0.01866472,0.020525161,0.022628762
2102,2026-08-10,-0.009658231,-0.014039604,-0.01777996,0.013443482,0.022111123,0.021426694
2103,2026-08-10,0.0056202463,-0.03354341,-0.047387592,0.027446836,0.02671075,0.025955247
2104,2026-08-10,-0.025445752,-0.06788947,-0.0035554667,0.02271269,0.022703098,0.022254035
2105,2026-08-10,-0.02142122,0.011428693,0.015333657,0.020609494,0.026611041,0.032137077
