stock_id,Date,score,rank
4584,2026-08-12,0.05718994,392
8092,2026-08-12,0.057128906,393
1477,2026-08-12,0.05709839,394
6248,2026-08-12,0.056915283,395
4417,2026-08-12,0.056732178,396
6216,2026-08-12,0.056732178,397
3372,2026-08-12,0.056671143,398
8923,2026-08-12,0.056549072,399
9945,2026-08-12,0.056549072,400
4128,2026-08-12,0.056549072,401
6279,2026-08-12,0.056518555,402
2596,2026-08-12,0.05645752,403
2838,2026-08-12,0.05633545,404
4433,2026-08-12,0.05630493,405
2013,2026-08-12,0.05630493,406
6266,2026-08-12,0.05609131,407
1524,2026-08-12,0.05609131,408
5353,2026-08-12,0.056030273,409
2801,2026-08-12,0.055999756,410
6560,2026-08-12,0.05596924,411
6220,2026-08-12,0.05596924,412
1446,2026-08-12,0.05596924,413
2906,2026-08-12,0.05593872,414
3014,2026-08-12,0.055908203,415
2392,2026-08-12,0.055908203,416
1604,2026-08-12,0.055755615,417
2028,2026-08-12,0.055755615,418
3025,2026-08-12,0.055725098,419
2387,2026-08-12,0.05569458,420
6438,2026-08-12,0.055664062,421
1565,2026-08-12,0.05557251,422
2701,2026-08-12,0.055541992,423
4590,2026-08-12,0.055541992,424
5457,2026-08-12,0.055541992,425
2009,2026-08-12,0.055511475,426
6115,2026-08-12,0.055480957,427
2547,2026-08-12,0.055480957,428
6170,2026-08-12,0.05532837,429
4943,2026-08-12,0.055236816,430
6929,2026-08-12,0.055114746,431
1471,2026-08-12,0.05508423,432
2755,2026-08-12,0.055023193,433
9950,2026-08-12,0.054992676,434
8466,2026-08-12,0.05493164,435
2030,2026-08-12,0.054779053,436
2754,2026-08-12,0.054718018,437
6189,2026-08-12,0.054534912,438
6185,2026-08-12,0.054504395,439
1101,2026-08-12,0.05444336,440
3285,2026-08-12,0.054351807,441
3465,2026-08-12,0.05432129,442
8163,2026-08-12,0.05432129,443
8942,2026-08-12,0.05429077,444
7631,2026-08-12,0.054260254,445
1540,2026-08-12,0.054260254,446
6803,2026-08-12,0.05419922,447
3062,2026-08-12,0.05419922,448
6242,2026-08-12,0.0541687,449
3115,2026-08-12,0.054138184,450
1528,2026-08-12,0.05407715,451
2038,2026-08-12,0.05404663,452
1104,2026-08-12,0.053863525,453
3516,2026-08-12,0.053833008,454
3520,2026-08-12,0.053833008,455
3217,2026-08-12,0.05380249,456
1452,2026-08-12,0.053741455,457
3713,2026-08-12,0.053741455,458
5511,2026-08-12,0.053741455,459
4441,2026-08-12,0.05368042,460
6171,2026-08-12,0.053649902,461
3432,2026-08-12,0.05355835,462
4523,2026-08-12,0.053466797,463
1110,2026-08-12,0.05343628,464
3455,2026-08-12,0.05340576,465
3060,2026-08-12,0.053344727,466
9911,2026-08-12,0.05331421,467
5243,2026-08-12,0.05328369,468
2460,2026-08-12,0.05328369,469
6194,2026-08-12,0.05316162,470
1776,2026-08-12,0.053009033,471
4121,2026-08-12,0.052978516,472
